# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
  1417-1418  (2)
  141A-141B  (2)
  141D-141E  (2)
  1420-1420  (1)
  1423-1423  (1)
  1426-1427  (2)
  142A-142A  (1)
  142C-142C  (1)
  142E-142E  (1)
  1430-1430  (1)
  1432-1432  (1)
  1434-1436  (3)
  1439-1439  (1)
  143C-143D  (2)
  143F-143F  (1)
  1441-1441  (1)
  1443-1443  (1)
  1445-1445  (1)
  1447-1447  (1)
  1449-1449  (1)
  144B-144B  (1)
  144D-144D  (1)
  144F-1456  (8)
  1479-1479  (1)
  147C-147D  (2)
  1527-1527  (1)
  1529-1529  (1)
  152B-152D  (3)
  181A-181A  (1)
  181C-181C  (1)
  181E-181E  (1)
  1820-1820  (1)
  1822-1822  (1)
  1825-1826  (2)
  1875-1875  (1)
  1877-1877  (1)
  187A-187A  (1)
  187D-187D  (1)
  1880-1880  (1)
  1883-1884  (2)
  1887-1887  (1)
  188A-188B  (2)
  188D-188D  (1)
  188F-188F  (1)
  1891-1894  (4)
  1899-189A  (2)
  189D-18A1  (5)
  18A3-18A3  (1)
  18A6-18A6  (1)
  18A9-18A9  (1)
  18AC-18AF  (4)
  1AB4-1AB4  (1)
  1AB7-1AB8  (2)
  1ABA-1ABA  (1)
  1B93-1B93  (1)
  1B96-1B97  (2)
  1B9A-1B9D  (4)
  1BA0-1BA2  (3)
  1BBB-1BBC  (2)
  1BBF-1BBF  (1)
  1BC2-1BC2  (1)
  1BC5-1BC7  (3)
  1BCA-1BCA  (1)
  1BCD-1BD7  (11)
  1BD9-1BDA  (2)
  1BDD-1BDF  (3)
  1C37-1C37  (1)
  1C49-1C49  (1)
  1C4B-1C4B  (1)
  1DCC-1DCD  (2)
  1DD0-1DD0  (1)
  1DD3-1DD6  (4)
  1DD9-1DDA  (2)
  1E38-1E38  (1)
  1E3B-1E41  (7)
  1E43-1E48  (6)
  1E4A-1E4A  (1)
  1E4C-1E4C  (1)
  1E53-1E56  (4)
  1E58-1E5B  (4)
  1E5D-1E60  (4)
  1E62-1E6A  (9)
  1E6D-1E71  (5)
  1E73-1E73  (1)
  1E76-1E78  (3)
  1E7A-1E7A  (1)
  1E7C-1E7D  (2)
  1E80-1E81  (2)
  1E84-1E87  (4)
  1E89-1E8B  (3)
  2092-2092  (1)
  2095-2097  (3)
  2099-209A  (2)
  209C-209D  (2)
  20DD-20DE  (2)
  20E1-20E3  (3)
  20E6-20E7  (2)
  20ED-20F4  (8)
  20F7-20F7  (1)
  20F9-20F9  (1)
  20FC-20FC  (1)
  20FF-2104  (6)
  2106-2106  (1)
  21A0-21A1  (2)
  21A4-21A4  (1)
  21FD-21FD  (1)
  2200-2200  (1)
  2202-2202  (1)
  2205-2205  (1)
  2214-2216  (3)
  222F-222F  (1)
  2232-2232  (1)
  2235-2237  (3)
  2239-2239  (1)
  223B-223B  (1)
  2252-2252  (1)
  2254-2254  (1)
  2256-2257  (2)
  26BC-26BD  (2)
  26C0-26C2  (3)
  26C4-26C4  (1)
  26C7-26C9  (3)
  26CC-26CE  (3)
  26D1-26D3  (3)
  26D5-26D5  (1)
  26D8-26D8  (1)
  26DA-26DB  (2)
  26DD-26DD  (1)
  26DF-26DF  (1)
  26E1-26E3  (3)
  26E6-26E6  (1)
  26E8-26E8  (1)
  26EA-26EA  (1)
  26EC-26EC  (1)
  26EE-26EE  (1)
  26F0-26F0  (1)
  2711-2711  (1)
  2713-2713  (1)
  2715-2715  (1)
  2717-2717  (1)
  2719-2719  (1)
  271B-271B  (1)
  271D-271D  (1)
  271F-271F  (1)
  2721-2721  (1)
  2723-2723  (1)
  2737-273B  (5)
  273E-273E  (1)
  2741-2741  (1)
  2743-2746  (4)
  2749-274B  (3)
  2783-2783  (1)
  27A2-27A9  (8)
  27AB-27AD  (3)
  27B0-27B0  (1)
  27B3-27B3  (1)
  27B6-27B7  (2)
  27B9-27C4  (12)
  27C7-27C7  (1)
  27CA-27CD  (4)
  28C2-28C2  (1)
  28C5-28C6  (2)
  28C9-28CA  (2)
  28CD-28CE  (2)
  28EC-28ED  (2)
  28EF-28EF  (1)
  28F2-28F4  (3)
  28F7-28F7  (1)
  28FA-28FA  (1)
  28FD-28FD  (1)
  28FF-28FF  (1)
  2901-2901  (1)
  2904-2904  (1)
  2907-2907  (1)
  290A-290B  (2)
  290D-290D  (1)
  2910-2911  (2)
  2913-2913  (1)
  2921-2923  (3)
  2925-2925  (1)
  2927-2927  (1)
  2929-2929  (1)
  292B-292B  (1)
  292D-292D  (1)
  292F-292F  (1)
  2931-2931  (1)
  2933-2933  (1)
  2935-2935  (1)
  2937-2937  (1)
  293C-293D  (2)
  293F-293F  (1)
  2944-2945  (2)
  2947-294B  (5)
  294E-294E  (1)
  2951-2951  (1)
  2953-2953  (1)
  2C6A-2C6B  (2)
  2C75-2C76  (2)
  2D09-2D0A  (2)
  2D0D-2D0D  (1)
  2D0F-2D0F  (1)
  2D12-2D1D  (12)
  2D20-2D20  (1)
  2D22-2D29  (8)
  2D2B-2D2C  (2)
  2D2F-2D36  (8)
  2D38-2D38  (1)
  2D3B-2D3D  (3)
  3080-3082  (3)
  3085-3086  (2)
  3088-3088  (1)
  308A-308A  (1)
  308C-308C  (1)
  308F-308F  (1)
  3092-3092  (1)
  3094-3094  (1)
  3097-3097  (1)
  3099-3099  (1)
  309C-309D  (2)
  30A0-30A0  (1)
  30A2-30A2  (1)
  30A5-30A6  (2)
  30A8-30A9  (2)
  30AC-30AC  (1)
  30AF-30B0  (2)
  30B2-30B2  (1)
  30B5-30B5  (1)
  30B7-30B7  (1)
  30BA-30BB  (2)
  30EE-30F0  (3)
  30F2-30F2  (1)
  30F5-30F8  (4)
  3242-3242  (1)
  3244-3244  (1)
  3247-3247  (1)
  324A-324A  (1)
  324D-324D  (1)
  3250-3250  (1)
  3253-3256  (4)
  3259-3259  (1)
  325C-325C  (1)
  325F-3260  (2)
  32A2-32A2  (1)
  32A5-32A5  (1)
  32A7-32A8  (2)
  32AA-32AB  (2)
  32F1-32F1  (1)
  32F3-3300  (14)
  3302-3302  (1)
  3304-3305  (2)
  3307-3307  (1)
  330A-330A  (1)
  330C-330C  (1)
  330E-330E  (1)
  3310-3310  (1)
  3312-3312  (1)
  3314-3315  (2)
  3317-3317  (1)
  331A-331A  (1)
  331C-331D  (2)
  332D-332E  (2)
  3391-3391  (1)
  34D8-34D8  (1)
  34DA-34DF  (6)
  34E2-34E3  (2)
  34E6-34E8  (3)
  34EA-34EA  (1)
  34ED-34EE  (2)
  34F0-34F0  (1)
  34F3-34F5  (3)
  34F7-34F7  (1)
  34FA-34FD  (4)
  3500-3500  (1)
  3583-3586  (4)
  3589-358A  (2)
  358C-358C  (1)
  358F-3590  (2)
  3593-3593  (1)
  3596-3596  (1)
  3599-359B  (3)
  359E-359E  (1)
  35A1-35A2  (2)
  35A4-35A8  (5)
  35AB-35AD  (3)
  35D9-35D9  (1)
  35DC-35DC  (1)
  35DE-35DF  (2)
  35E2-35E2  (1)
  369A-369A  (1)
  369C-36A0  (5)
  36A3-36A3  (1)
  36A6-36A6  (1)
  36A9-36A9  (1)
  36AC-36AC  (1)
  36AE-36AE  (1)
  36B1-36B3  (3)
  36B5-36B5  (1)
  36B7-36B7  (1)
  36B9-36B9  (1)
  36BC-36BF  (4)
  36C1-36C1  (1)
  36C3-36C3  (1)
  36C6-36C6  (1)
  36C8-36C8  (1)
  36CB-36CB  (1)
  36CE-36CE  (1)
  36D3-36D3  (1)
  36D6-36DB  (6)
  36DD-36DD  (1)
  36DF-36DF  (1)
  36E1-36E5  (5)
  36E8-36E8  (1)
  36EA-36EA  (1)
  36EC-36EC  (1)
  36EE-36EF  (2)
  36F2-36F3  (2)
  36F6-36F6  (1)
  36F9-36FC  (4)
  3700-3700  (1)
  3702-3702  (1)
  3705-3705  (1)
  3707-3707  (1)
  370A-370A  (1)
  370C-370C  (1)
  370F-370F  (1)
  3712-3713  (2)
  3715-3715  (1)
  3717-3719  (3)
  371B-371E  (4)
  3720-3722  (3)
  3725-3725  (1)
  3728-3728  (1)
  372B-372B  (1)
  372E-372E  (1)
  3731-3732  (2)
  3735-3736  (2)
  3739-373A  (2)
  373C-373C  (1)
  373F-373F  (1)
  3742-3742  (1)
  3744-3744  (1)
  3754-3754  (1)
  3756-3756  (1)
  3759-3760  (8)
  3762-3763  (2)
  3765-3765  (1)
  3790-3790  (1)
  3792-3792  (1)
  3795-3795  (1)
  3798-3798  (1)
  379A-379A  (1)
  379C-379C  (1)
  37C9-37C9  (1)
  37CC-37CD  (2)
  37CF-37CF  (1)
  37D1-37D5  (5)
  37D8-37D8  (1)
  37DB-37DC  (2)
  37DE-37DE  (1)
  37E0-37E0  (1)
  37E2-37E2  (1)
  37E4-37E4  (1)
  37E6-37E6  (1)
  37E8-37E8  (1)
  37EB-37EB  (1)
  37EE-37EE  (1)
  37F0-37F0  (1)
  37F2-37F4  (3)
  37F6-37F6  (1)
  37F8-37F8  (1)
  37FA-37FA  (1)
  37FD-37FD  (1)
  37FF-37FF  (1)
  3801-3801  (1)
  3803-3803  (1)
  3805-3805  (1)
  3808-3808  (1)
  380A-380A  (1)
  380D-380E  (2)
  3810-3811  (2)
  3813-3813  (1)
  3815-3815  (1)
  3817-3817  (1)
  381A-381A  (1)
  381C-381C  (1)
  381E-381E  (1)
  3820-3820  (1)
  3822-3822  (1)
  3825-3825  (1)
  3827-382C  (6)
  3847-384A  (4)
  384D-384D  (1)
  384F-384F  (1)
  3851-3851  (1)
  3853-3853  (1)
  3855-3855  (1)
  3857-3857  (1)
  3859-3859  (1)
  385C-385C  (1)
  385E-385E  (1)
  3860-3860  (1)
  3862-3863  (2)
  3865-3866  (2)
  3868-3868  (1)
  386A-386A  (1)
  386D-386D  (1)
  386F-386F  (1)
  3871-3871  (1)
  3873-3873  (1)
  3875-3875  (1)
  3878-3878  (1)
  387A-387A  (1)
  387D-387E  (2)
  3880-3880  (1)
  3882-3883  (2)
  3885-3885  (1)
  3887-3887  (1)
  38E9-38E9  (1)
  38EC-38EC  (1)
  38EF-38EF  (1)
  38F1-38F1  (1)
  38F3-38F5  (3)
  38F7-38F7  (1)
  38F9-38F9  (1)
  38FC-38FD  (2)
  3900-3900  (1)
  3903-3903  (1)
  3906-3906  (1)
  391F-391F  (1)
  3925-3925  (1)
  3962-3962  (1)
  3965-3965  (1)
  3968-3971  (10)
  3973-3973  (1)
  39C2-39C4  (3)
  39C6-39C7  (2)
  39CB-39D0  (6)
  39D5-39D8  (4)
  3A03-3A0B  (9)
  3A0D-3A0D  (1)
  3A0F-3A0F  (1)
  3A11-3A12  (2)
  3A14-3A16  (3)
  3A18-3A18  (1)
  3A1A-3A1B  (2)
  3A1D-3A22  (6)
  3A25-3A28  (4)
  3A35-3A36  (2)
  3A38-3A39  (2)
  3A3B-3A3C  (2)
  3A3E-3A3F  (2)
  3A41-3A42  (2)
  3A44-3A45  (2)
  3A47-3A48  (2)
  3A4A-3A4B  (2)
  3A4D-3A4D  (1)
  3A50-3A51  (2)
  3A53-3A54  (2)
  3A56-3A58  (3)
  3A5B-3A5D  (3)
  3A5F-3A60  (2)
  3A62-3A62  (1)
  3A64-3A64  (1)
  3A66-3A66  (1)
  3A69-3A6A  (2)
  3A6C-3A6D  (2)
  3A6F-3A72  (4)
  3A74-3A75  (2)
  3A77-3A77  (1)
  3A79-3A79  (1)
  3A7B-3A85  (11)
  3A8F-3A92  (4)
  3A94-3A95  (2)
  3A97-3A98  (2)
  3A9A-3A9A  (1)
  3A9C-3A9E  (3)
  3AA0-3AA2  (3)
  3AA4-3AA6  (3)
  3AA8-3AA9  (2)
  3AB4-3ABB  (8)
  3ABE-3AC4  (7)
  3AC6-3ACD  (8)
  3AD0-3AD5  (6)
  3AD7-3AD8  (2)
  3ADA-3AE0  (7)
  3AE3-3AE6  (4)
  3AE8-3AE9  (2)
  3AED-3AED  (1)
  3AF0-3AF1  (2)
  3AF3-3AF3  (1)
  3AF6-3AF6  (1)
  3AFE-3AFE  (1)
  3B01-3B01  (1)
  3B04-3B05  (2)
  3B0B-3B0D  (3)
  3B10-3B15  (6)
  3B3C-3B3C  (1)
  3B42-3B42  (1)
  3BD1-3BD1  (1)
  3BD3-3BD3  (1)
  3BD5-3BD5  (1)
  3BE5-3BE5  (1)
  3BE7-3BE8  (2)
  3BEA-3BEA  (1)
  3BF3-3BF3  (1)
  3BF5-3BF6  (2)
  3C0F-3C0F  (1)
  3C12-3C17  (6)
  3C19-3C1A  (2)
  3C1D-3C1E  (2)
  3C20-3C20  (1)
  3C22-3C22  (1)
  3C24-3C24  (1)
  3C26-3C28  (3)
  3C2B-3C2B  (1)
  3C2D-3C2E  (2)
  3C30-3C30  (1)
  3C32-3C32  (1)
  3C34-3C34  (1)
  3C37-3C38  (2)
  3C8B-3C8B  (1)
  3C8E-3C8E  (1)
  3C91-3C91  (1)
  3CC0-3CC0  (1)
  3CC2-3CC7  (6)
  3CC9-3CC9  (1)
  3CCC-3CCC  (1)
  3CCE-3CD8  (11)
  3CDA-3CE0  (7)
  3CE2-3CE2  (1)
  3CE5-3CE5  (1)
  3CE8-3CE8  (1)
  3CEB-3CF1  (7)
  3CF3-3CF3  (1)
  3CF5-3CF5  (1)
  3CF7-3CF7  (1)
  3CF9-3CF9  (1)
  3CFB-3CFB  (1)
  3D67-3D67  (1)
  3D6D-3D6D  (1)
  3D75-3D75  (1)
  3D78-3D78  (1)
  3D7B-3D7B  (1)
  3D7D-3D7D  (1)
  3D7F-3D7F  (1)
  3D81-3D81  (1)
  3D83-3D83  (1)
  3D85-3D85  (1)
  3D87-3D87  (1)
  3D8A-3D8A  (1)
  3D94-3D94  (1)
  3D97-3D98  (2)
  3D9A-3D9D  (4)
  3D9F-3DA3  (5)
  3DBE-3DC2  (5)
  3DC4-3DC5  (2)
  3DC7-3DCC  (6)
  3DCF-3DD0  (2)
  3DD2-3DD4  (3)
  3DD7-3DD9  (3)
  3DDC-3DDC  (1)
  3DDF-3DE0  (2)
  3DE9-3DEA  (2)
  3DED-3DEF  (3)
  3DF2-3DF2  (1)
  3DF5-3DF5  (1)
  3DF7-3DF8  (2)
  3DFA-3DFA  (1)
  3DFC-3DFC  (1)
  3E02-3E02  (1)
  3E04-3E04  (1)
  3E06-3E06  (1)
  3E08-3E08  (1)
  3E0B-3E11  (7)
  3E14-3E15  (2)
  3E18-3E19  (2)
  3E23-3E24  (2)
  3E26-3E26  (1)
  3E28-3E28  (1)
  3E2B-3E2B  (1)
  3E2E-3E30  (3)
  3E32-3E32  (1)
  3E3E-3E40  (3)
  3E43-3E43  (1)
  3E45-3E46  (2)
  3E48-3E48  (1)
  3E4B-3E4F  (5)
  3E51-3E51  (1)
  3E53-3E53  (1)
  3E55-3E55  (1)
  3E57-3E57  (1)
  3E59-3E59  (1)
  3E60-3E60  (1)
  3E62-3E62  (1)
  3E64-3E64  (1)
  3E66-3E66  (1)
  3E68-3E68  (1)
  3E6A-3E6A  (1)
  3E6D-3E6D  (1)
  3E6F-3E6F  (1)
  3E71-3E71  (1)
  3E73-3E73  (1)
  3E76-3E76  (1)
  3E78-3E78  (1)
  3E7A-3E7A  (1)
  3E7C-3E7C  (1)
  3E7E-3E7E  (1)
  3E81-3E83  (3)
  3E85-3E89  (5)
  3E8C-3E8E  (3)
  3E91-3E91  (1)
  3EF3-3EF4  (2)
  3EF7-3EF9  (3)
  3EFC-3EFD  (2)
  3F00-3F02  (3)
  3F20-3F22  (3)
  3F25-3F26  (2)
  3F3F-3F3F  (1)
  3F41-3F41  (1)
  3F44-3F44  (1)
  3F46-3F47  (2)
  3F49-3F49  (1)
  3F4B-3F4B  (1)
  3F79-3F7A  (2)
  3F7D-3F7E  (2)
  3F8A-3F8A  (1)
  3F8D-3F8F  (3)
  3F91-3F91  (1)
  3F94-3F94  (1)
  3F97-3F98  (2)
  3FA0-3FA4  (5)
  3FA7-3FA8  (2)
  3FAA-3FAA  (1)
  3FAD-3FAD  (1)
  3FB0-3FB0  (1)
  3FB2-3FB2  (1)
  3FB4-3FB4  (1)
  3FB6-3FB6  (1)
  3FB9-3FBD  (5)
  3FBF-3FBF  (1)
  3FC2-3FC6  (5)
  3FC8-3FCD  (6)
  3FD0-3FD0  (1)
  3FD2-3FD2  (1)
  3FD4-3FD7  (4)
  3FD9-3FD9  (1)
  3FDC-3FE0  (5)
  3FE2-3FE4  (3)
  3FE7-3FE7  (1)
  3FE9-3FE9  (1)
  3FEB-3FEB  (1)
  3FEE-3FF1  (4)
  3FF3-3FF4  (2)
  3FF6-3FF7  (2)
  3FF9-3FF9  (1)
  3FFC-3FFD  (2)
  4000-4000  (1)
  4003-4008  (6)
  400A-400A  (1)
  400D-4010  (4)
  4012-4012  (1)
  4015-4019  (5)
  401B-401B  (1)
  401E-4021  (4)
  4024-4027  (4)
  402A-402C  (3)
  402F-402F  (1)
  4032-4035  (4)
  4038-403A  (3)
  403D-403F  (3)
  4042-4043  (2)
  4046-4047  (2)
  4049-4049  (1)
  404C-404C  (1)
  404E-404E  (1)
  4051-4051  (1)
  4054-4054  (1)
  4057-4057  (1)
  4059-4059  (1)
  405C-405C  (1)
  405F-4063  (5)
  4065-4065  (1)
  4068-4069  (2)
  406B-406B  (1)
  406E-4070  (3)
  4072-4073  (2)
  4076-4076  (1)
  4078-4078  (1)
  407A-407E  (5)
  4080-4083  (4)
  4086-4086  (1)
  4088-408A  (3)
  408D-408F  (3)
  4092-4092  (1)
  4094-4095  (2)
  4097-4098  (2)
