# N88-BASIC 言語表面（測定条件の生成元）
#
# 出典: PC-8801FA/MA N88-BASIC / N88日本語BASIC リファレンスマニュアル の索引。
#       第2章 基本命令 166 項目、第3章 拡張命令 16 項目。
#       ここに書いてあるのは「命令名」という事実と、こちらで書いたテストコードだけで、
#       マニュアルの本文は転記していない。
#
# 目的は網羅性の根拠を「思いついた条件」から「公開されたリファレンス」に移すこと。
# ただし判定基準は表を消化したかではなく、新規バイトが 0 に張り付いたかである。
# 表を全部叩いてもまだ増えるなら、正常系だけでは足りないということ。
#
# 1 命令 = 1 条件にしてある。まとめると帰属（どの番地がどの命令の実装か）が消えるため。
# それが L3/L4 の実装単位を切る材料であり、後で差分実行するときの手がかりになる。
#
# 列: name<TAB>category<TAB>needs<TAB>code<TAB>note
#   needs: -      ディスク不要
#          disk   ディスクを入れる（読むだけ）
#          diskw  ディスクに書く（複製のプロテクトを外す）
#          input  実行中に追加の打鍵が要る
#          skip   測らない（note に理由）
#   code:  \n で改行。プログラムを組む場合は行番号を付けて末尾に RUN
#          末尾の改行は gen_suite.py が補う
#   expect: ok(既定) 実行後に Ok で終わるはず
#           err      エラーが出るのが正しい条件（ERROR 文など）
#           any      画面が崩れるので最終行では判定しない（画面制御命令）
#
# --- 数値関数 ---
CALL	machine	-	POKE 60000,201:AD=60000:CALL AD:PRINT 1	書式は CALL <変数名>。定数は不可。60000 に RET(C9h) を置く
USR	machine	-	POKE 60000,201:DEF USR0=60000:PRINT USR0(0)
DEFUSR	machine	-	POKE 60000,201:DEF USR1=60000:PRINT USR1(0)
MON	machine	skip		マシン語モニタに入る。BASIC に戻る手順が要る
# --- ディスク ---
FILES	disk	disk	FILES	FILES/LFILES
SAVE	disk	diskw	10 PRINT "T"\nSAVE"TMPQ88"
LOAD	disk	diskw	10 PRINT "T"\nSAVE"TMPQ88"\nNEW\nLOAD"TMPQ88"\nLIST
KILL	disk	diskw	10 PRINT "T"\nSAVE"TMPQ88"\nKILL"TMPQ88"
NAME	disk	diskw	10 PRINT "T"\nSAVE"TMPQ88"\nNAME"TMPQ88" AS "TMPQ89"\nFILES
MERGE	disk	diskw	10 PRINT "T"\nSAVE"TMPQ88",A\nNEW\n20 PRINT "U"\nMERGE"TMPQ88"\nLIST
CHAIN	disk	skip		別プログラムへ制御を移す。戻ってこないので測定の終端が読めない
SAVEASCII	disk	diskw	10 PRINT "T"\nSAVE"TMPQ8A",A\nFILES	ASCII 形式での保存
BSAVE	disk	diskw	POKE 60000,1\nBSAVE"TMPQ8B",60000,16
BLOAD	disk	diskw	POKE 60000,1\nBSAVE"TMPQ8B",60000,16\nBLOAD"TMPQ8B"		any
OPEN	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nCLOSE
CLOSE	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nCLOSE #1
PRINTNUM	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nPRINT#1,"HI"\nCLOSE	PRINT#
INPUTNUM	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nPRINT#1,"HI"\nCLOSE\nOPEN "TMPD" FOR INPUT AS #1\nINPUT#1,W$\nCLOSE\nPRINT W$	INPUT#
LINEINPUTNUM	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nPRINT#1,"HI"\nCLOSE\nOPEN "TMPD" FOR INPUT AS #1\nLINE INPUT#1,W$\nCLOSE\nPRINT W$	LINE INPUT#
WRITENUM	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nWRITE#1,"HI",1\nCLOSE	WRITE#
PRINTNUMUSING	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nPRINT#1,USING "###";5\nCLOSE	PRINT# USING
EOF	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nPRINT#1,"HI"\nCLOSE\nOPEN "TMPD" FOR INPUT AS #1\nPRINT EOF(1)\nCLOSE
LOC	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nPRINT#1,"HI"\nPRINT LOC(1)\nCLOSE
LOF	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nPRINT#1,"HI"\nCLOSE\nOPEN "TMPD" FOR INPUT AS #1\nPRINT LOF(1)\nCLOSE
FPOS	disk	diskw	OPEN "TMPD" FOR OUTPUT AS #1\nPRINT#1,"HI"\nPRINT FPOS(1)\nCLOSE
FIELD	disk	diskw	OPEN "TMPR" AS #1\nFIELD #1,16 AS F$\nCLOSE	ランダムアクセス
LSET	disk	diskw	OPEN "TMPR" AS #1\nFIELD #1,16 AS F$\nLSET F$="AB"\nPUT #1,1\nCLOSE	LSET/RSET
GETPUT	disk	diskw	OPEN "TMPR" AS #1\nFIELD #1,16 AS F$\nLSET F$="AB"\nPUT #1,1\nGET #1,1\nPRINT F$\nCLOSE	GET/PUT（ファイル）
MKI	disk	diskw	OPEN "TMPR" AS #1\nFIELD #1,8 AS F$\nLSET F$=MKI$(7)\nPUT #1,1\nCLOSE	MKI$/MKS$/MKD$
CVI	disk	diskw	OPEN "TMPR" AS #1\nFIELD #1,8 AS F$\nLSET F$=MKI$(7)\nPUT #1,1\nGET #1,1\nPRINT CVI(LEFT$(F$,2))\nCLOSE	CVI/CVS/CVD
DSKF	disk	disk	PRINT DSKF(1)
DSKI	disk	disk	A$=DSKI$(1,0,0,1):PRINT LEN(A$)	DSKI$。書式は (ドライブ,サーフェス,トラック,セクタ) の4引数
DSKO	disk	skip		セクタへの直接書き込み。ディスクを壊しうるので慎重に
COPY	disk	skip		プリンタ／画面コピー。プリンタが無いと待たされる
# --- 通信・テープ ---
MOTOR	tape	-	MOTOR 1:MOTOR 0:PRINT 1	書式は MOTOR [<スイッチ>]。0=OFF、それ以外=ON
TERM	comm	skip		ターミナルモードに入る。抜ける手順が要る
ONCOMGOSUB	comm	-	10 ON COM GOSUB 100\n20 COM OFF\n30 END\n100 RETURN\nRUN
COMONOFF	comm	-	COM OFF:PRINT 1	COM ON/OFF/STOP
# --- プリンタ ---
LPRINT	printer	skip		プリンタ未接続。待たされる可能性がある
LLIST	printer	skip		同上
WIDTHLPRINT	printer	skip		同上
LPOS	printer	-	PRINT LPOS(0)	問い合わせのみなので出力はしない
# --- 拡張命令（第3章 CMD 系）---
CMDPLAY	ext	-	CMD PLAY "CDE"	サウンドボード用。無ければエラー経路の測定になる
CMDSOUND	ext	-	CMD SOUND 0,0
CMDBGM	ext	-	CMD BGM 1
CMDSTOPM	ext	-	CMD STOP M
CMDOUTM	ext	-	CMD OUT M
CMDPAL	ext	-	CMD PAL 0,0
CMDVOICE	ext	-	CMD VOICE 0
CMDVOICECOPY	ext	-	CMD VOICE COPY 0,1
CMDVOICELFO	ext	-	CMD VOICE LFO 0
CMDVOICEREG	ext	-	CMD VOICE REG 0,0
CMDUNLINK	ext	-	CMD UNLINK
CMDPCMLOAD	ext	skip		PCM データファイルが要る
CMDPCMPLAY	ext	skip		同上
CMDPCMRECORD	ext	skip		録音。入力源が無い
CMDPCMSTOP	ext	-	CMD PCM STOP
STATUS	ext	-	PRINT STATUS(0)
